term,definition
type I hypersensitivity,immediate response mediated by mast cell degranulation caused by the crosslinking of the antigen-specific IgE molecules on the mast cell surface.
type II hypersensitivity,"cell damage caused by the binding of antibody and the activation of complement, usually against red blood cells."
type III hypersensitivity,damage to tissues caused by the deposition of antibody-antigen (immune) complexes followed by the activation of complement.
ulna,bone located on the medial side of the forearm.
ulnar artery,formed at the bifurcation of the brachial artery; parallels the ulna; gives off smaller branches until it reaches the carpal region where it fuses with the radial artery to form the superficial and deep palmar arches; supplies blood to the lower arm and carpal region.
ulnar collateral ligament,intrinsic ligament on the medial side of the elbow joint; spans from the medial epicondyle of the humerus to the medial ulna.
ulnar nerve,"systemic nerve of the arm located close to the ulna, a bone of the forearm."
ulnar notch of the radius,"shallow, smooth area located on the medial side of the distal radius; articulates with the head of the ulna at the distal radioulnar joint."
ulnar tuberosity,"roughened area located on the anterior, proximal ulna inferior to the coronoid process."
ulnar vein,parallels the ulna and ulnar artery; arises from the palmar venous arches and leads to the brachial vein.
umami,taste submodality for sensitivity to the concentration of amino acids; also called the savory sense.
umbilical arteries,pair of vessels that runs within the umbilical cord and carries foetal blood low in oxygen and high in waste to the placenta for exchange with maternal blood.
umbilical cord,connection between the developing conceptus and the placenta; carries deoxygenated blood and wastes from the foetus and returns nutrients and oxygen from the mother.
umbilical vein,"single vessel that originates in the placenta and runs within the umbilical cord, carrying oxygen- and nutrient-rich blood to the foetal heart."
uniaxial joint,type of diarthrosis; joint that allows for motion within only one plane (one axis).
unipolar,shape of a neuron which has only one process that includes both the axon and dendrite.
unipotent,describes the condition of being committed to a single specialised cell type.
universal RBC donor,individual with type O− blood.
universal RBC recipient,individual with type AB+ blood.
unsaturated fatty acid –,long-chain hydrocarbon that has one or more double bonds in the hydrocarbon chain.
upper motor neuron,first neuron in the motor command pathway with its cell body in the cerebral cortex that synapses on the lower motor neuron in the spinal cord.
upper oesophageal sphincter,skeletal muscle sphincter that regulates food movement from the pharynx to the oesophagus.
upregulation,"increase in the number of hormone receptors, typically in response to chronically reduced levels of a hormone."
urethra,transports urine from the bladder to the outside environment.
urinalysis,analysis of urine to diagnose disease.
urochrome,haem-derived pigment that imparts the typical yellow colour of urine.
uterine tubes,"(also, fallopian tubes or oviducts) ducts that facilitate transport of an ovulated oocyte to the uterus."
uterus,muscular hollow organ in which a fertilised egg develops into a foetus.
utricle,structure of the inner ear responsible for transducing linear acceleration in the horizontal plane.
vagina,tunnel-like organ that provides access to the uterus for the insertion of semen and from the uterus for the birth of a baby.
vagus nerve,tenth cranial nerve; responsible for the autonomic control of organs in the thoracic and upper abdominal cavities.
Valsalva’s manoeuvre,"voluntary contraction of the diaphragm and abdominal wall muscles and closing of the glottis, which increases intra-abdominal pressure and facilitates defecation."
valve,"in the cardiovascular system, a specialised structure located within the heart or vessels that ensures one-way flow of blood."
variable region domain,part of a lymphocyte antigen receptor that varies considerably between different receptor types.
varicosity,enlargement of neurons that release neurotransmitters into synaptic clefts.
vasa recta,"branches of the efferent arterioles that parallel the course of the loops of Henle and are continuous with the peritubular capillaries; with the glomerulus, form a portal system."
